7 + 85 = 
33 + 57 = 
53 + 7 = 
5 + 28 = 
1 + 19 = 
8 + 24 = 
9 + 26 = 
51 + 32 = 
14 + 12 = 
43 + 8 = 
39 + 30 = 
31 + 27 = 
6 + 55 = 
2 + 96 = 
35 + 60 = 
72 + 23 = 
16 + 12 = 
27 + 27 = 
36 + 1 = 
71 + 16 = 
67 + 30 = 
88 + 2 = 
11 + 35 = 
11 + 67 = 
83 + 13 = 
22 + 72 = 
35 + 25 = 
7 + 29 = 
28 + 11 = 
5 + 0 = 
40 + 1 = 
9 + 25 = 
8 + 12 = 
27 + 27 = 
54 + 30 = 
47 + 38 = 
51 + 3 = 
29 + 18 = 
5 + 54 = 
40 + 50 = 
27 + 36 = 
48 + 21 = 
47 + 29 = 
53 + 38 = 
24 + 51 = 
9 + 28 = 
0 + 87 = 
16 + 34 = 
11 + 54 = 
2 + 93 = 
