23 + 53 =76
1 + 89 =90
1 + 10 =11
16 + 54 =1
58 + 19 =1
15 + 55 =1
60 + 6 =1
1 + 81 =1
45 + 15 =1
43 + 9 =1
83 + 4 =1
7 + 79 =1
18 + 20 =1
33 + 11 =1
46 + 25 =1
17 + 27 =1
0 + 20 =1
55 + 19 =1
11 + 2 =1
11 + 62 =1
25 + 69 =1
72 + 27 =1
14 + 53 =1
59 + 35 =1
35 + 2 =1
60 + 7 =1
27 + 46 =1
6 + 34 =1
7 + 41 =1
75 + 1 =76
18 + 8 =1
18 + 66 =1
39 + 58 =1
29 + 21 =1
45 + 18 =1
88 + 11 =1
23 + 18 =1
43 + 31 =1
29 + 2 =1
13 + 65 =1
66 + 3 =1
55 + 32 =1
58 + 3 =1
61 + 27 =1
34 + 51 =1
7 + 14 =1
43 + 57 =1
33 + 55 =1
73 + 12 =85
53 + 39 =1
